,charge,color,commercial_license,commercial_vehicle,driver_city,hazmat,make,model,seq_id,vehicle_type,violation_type,year
111,20-103(b),SILVER,No,No,SILVER SPRING,No,FORD,MUSTANG,48940532-9bf1-4337-b9e4-6088c5af88fe,02 - Automobile,Citation,2002
112,21-801(b),BLUE,No,No,SILVER SPRING,No,COROLLA,TOYOTA,d0d1ec5d-2333-42bb-a6c6-c8e5717f37f4,02 - Automobile,Citation,1993
113,21-801.1,BLUE,No,No,MONTGOMERY VILLAGE,No,MAZDA,PROTEGE,35004b41-cc94-45e2-af6a-3eb1e534f8d9,02 - Automobile,Citation,2000
114,21-902(a2),BLUE,No,No,TAKOMA PARK,No,TOYOTA,CAMRY,7b78b468-17d9-4edf-8179-8b6dc80eac13,02 - Automobile,Citation,2004
115,21-801.1,BLACK,No,No,GERMANTOWN,No,HYUN,2S,b78f38fe-e103-4ef7-b410-044bc474be38,02 - Automobile,Citation,2011
116,21-801(b),BLACK,No,No,HAMPSTEAD,No,HOND,2S,b6d3f567-70cb-46ef-8eec-cc325db72800,02 - Automobile,Citation,2009
117,64*,GREEN,No,No,GERMANTOWN,No,MAZD,4S,dc3951cd-e091-4c74-801f-3007ca12e175,02 - Automobile,ESERO,1999
118,21-801.1,GRAY,No,No,CLARKSBURG,No,SATU,4S,d09cd8e1-c4ef-45cd-bb2d-017970065127,02 - Automobile,Citation,2004
119,21-801.1,BLUE,No,No,CLARKSBURG,No,CHRY,4D,78a59770-0f3d-4b87-a3bc-3e63de43a277,02 - Automobile,Citation,2014
120,13-401(h),BLACK,No,No,GERMANTOWN,No,MAZDA,2D,f95aa5df-07ce-4002-84ff-42358a7678db,02 - Automobile,Citation,1999
121,16-105(b1),BLACK,No,No,GERMANTOWN,No,TOYOTA,2D,9c338479-5e55-4370-8b28-126bb6439b28,02 - Automobile,Citation,2000
122,21-707(a),GRAY,No,No,SPRINGDALE,No,TOYOTA,RAV4,72763f90-0b47-4ba0-a99c-d5d69e06d119,02 - Automobile,Citation,2004
123,21-202(h1),WHITE,No,No,GAITHERSBURG,No,JAG,S TYPE,76db7512-666c-49a8-a748-d598421a3600,02 - Automobile,Citation,2004
124,21-801.1,SILVER,No,No,BETHESDA,No,BMW,4S,bcada34c-cc73-4391-9677-fe5890bfd231,02 - Automobile,Citation,2005
125,21-507G3I(i1),N/A,No,No,GERMANTOWN,No,NONE,NONE,5b424ca0-fc5b-4662-a490-af7bd4f278c6,29 - Unknown,Citation,
126,21-707(a),RED,No,No,GERMANTOWN,No,HYUN,4S,24254405-80a6-403b-822d-aa20c58e7a19,02 - Automobile,Citation,2013
127,21-801.1,RED,No,No,POTOMAC,No,HYUNDAI,4S,ec712dfb-dfd5-464d-bc1a-6aeea5ba6027,02 - Automobile,Citation,2002
128,21-902(b1),WHITE,No,No,SILVER SPRING,No,GMC,SAVANA,cabc3dd3-7f42-47e9-86a9-55eba2212bb9,02 - Automobile,Citation,1999
129,20-104(b),SILVER,No,No,WASHINGTON,No,INFINITIF,J30,b79bd1a5-efc1-4eac-a9af-054dff0b8078,02 - Automobile,Citation,1993
130,16-301(e),RED,No,No,SILVER SPRING,No,VOLK,4D,38115438-abfc-4604-9424-ff7fc1e160e1,02 - Automobile,Citation,2008
131,21-801.1,SILVER,No,No,HAGERSTOWN,No,TOYO,CAMRY,ced035e2-0b32-481b-be13-9a3e6288245f,02 - Automobile,Citation,2003
132,22-204(f),WHITE,No,No,SILVER SPRING,No,FORD,VN,31e61b15-8854-4a9a-a3df-efcc8cb26d3b,28 - Other,Citation,2002
133,21-201(a1),BROWN,No,No,CHANTILLY,No,MERCEDES,E350,3505f73a-5101-4ce8-af06-9d56e9abf94c,02 - Automobile,Citation,2008
134,21-801.1,BLUE,No,No,POTOMAC,No,HONDA,4DR,3746a3c1-d370-4759-8e0f-c7a035dadce2,02 - Automobile,Citation,2013
135,21-801.1,GRAY,No,No,MONROVIA,No,SUBA,SW,0effdb78-aa9b-40fb-b93a-8dd6eac5ad94,03 - Station Wagon,Citation,2008
136,22-412.3(b),BLUE,No,No,SILVER SPRING,No,HONDA,ACCORD,8093b08d-97b8-4df1-9f45-f378e1a0f106,02 - Automobile,Citation,1996
137,21-902(b1),BLUE,No,No,ALVIN,No,TOYOTA,SOLARA,dddbaba9-db7c-448d-8925-8f1a5ed5be05,02 - Automobile,Citation,1999
138,21-901.1(a),WHITE,No,No,ROCKVILLE,No,CHEVY,VAN,b8b5d92d-f1a0-4e0d-b3de-3308fcd2c1e8,28 - Other,Citation,2006
139,13-401(h),WHITE,No,No,ROCKVILLE,No,CHEVY,VAN,b8b5d92d-f1a0-4e0d-b3de-3308fcd2c1e8,28 - Other,Citation,2006
140,21-1102(a),"BLUE, LIGHT",No,No,SEVERN,No,NISSAN,ALTIMA,8257bee1-d1d4-45a1-8a41-859dd2f15a1d,02 - Automobile,Citation,2010
