,charge,color,commercial_license,commercial_vehicle,driver_city,hazmat,make,model,vehicle_type,violation_type,year
131,16-301(e),RED,No,No,SILVER SPRING,No,VOLK,4D,02 - Automobile,Citation,2008
132,21-801.1,SILVER,No,No,HAGERSTOWN,No,TOYO,CAMRY,02 - Automobile,Citation,2003
133,22-204(f),WHITE,No,No,SILVER SPRING,No,FORD,VN,28 - Other,Citation,2002
134,21-201(a1),BROWN,No,No,CHANTILLY,No,MERCEDES,E350,02 - Automobile,Citation,2008
135,21-801.1,BLUE,No,No,POTOMAC,No,HONDA,4DR,02 - Automobile,Citation,2013
136,21-801.1,GRAY,No,No,MONROVIA,No,SUBA,SW,03 - Station Wagon,Citation,2008
137,22-412.3(b),BLUE,No,No,SILVER SPRING,No,HONDA,ACCORD,02 - Automobile,Citation,1996
138,21-902(b1),BLUE,No,No,ALVIN,No,TOYOTA,SOLARA,02 - Automobile,Citation,1999
139,21-901.1(a),WHITE,No,No,ROCKVILLE,No,CHEVY,VAN,28 - Other,Citation,2006
140,13-401(h),WHITE,No,No,ROCKVILLE,No,CHEVY,VAN,28 - Other,Citation,2006
141,21-1102(a),"BLUE, LIGHT",No,No,SEVERN,No,NISSAN,ALTIMA,02 - Automobile,Citation,2010
142,13-409(b),WHITE,No,No,LAUREL,No,FORD,TAURUS,02 - Automobile,Citation,2005
143,21-201(a1),BLACK,No,No,SILVER SPRING,No,BMW,2H,02 - Automobile,Citation,2010
144,21-902(b1),MAROON,No,No,KENSINGTON,No,FORD,EXPLORER,02 - Automobile,Citation,1999
145,21-902(a1),SILVER,No,No,BURTONSVILLE,No,CADI,4D,02 - Automobile,Citation,2005
146,13-409(b),SILVER,No,No,HYATTSVILLE,No,ACURA,4S,02 - Automobile,Citation,2004
147,13-409(b),BLACK,No,No,SILVER SPRING,No,TOYOTA,AVALON,02 - Automobile,Citation,2004
148,21-902(a1),BLACK,No,No,DAMASCUS,No,HONDA,2S CIVIC,02 - Automobile,Citation,2008
149,16-105(b1),BLUE,No,No,BELTSVILLE,No,JEEP,SUV,02 - Automobile,Citation,2004
150,16-301(e),BLACK,No,No,SILVER SPRING,No,CADILLAC,ESCALADE,02 - Automobile,Citation,2007
151,21-904(c1),BLUE,No,No,BETHESDA,No,HONDA,CIVIC,02 - Automobile,Citation,2007
152,21-902(a1),TAN,No,No,SILVER SPRING,No,TOYOTA,CAMRY,02 - Automobile,Citation,2000
153,21-902(a1),SILVER,No,No,ROCKVILLE,No,ACURA,TL,02 - Automobile,Citation,2002
154,21-1003(d),BLUE,No,No,FALLS CHURCH,No,HONDA,ACORD,02 - Automobile,Citation,2010
155,21-202(h1),GRAY,No,No,SILVER SPRING,No,TOYOTA,COROLLA,02 - Automobile,Citation,2004
156,21-801(b),BLACK,No,No,FREDERICK,No,HONDA,CIVIC,02 - Automobile,Citation,2013
157,16-101(a1),BLACK,No,No,FREDERICK,No,HONDA,CIVIC,02 - Automobile,Citation,2013
158,16-301(e),BLACK,No,No,FREDERICK,No,HONDA,CIVIC,02 - Automobile,Citation,2013
